0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
SmytDu00,MIA,24,TE,16,14,14,7,50.0%,65,9.3,0,2,24,4.6,0.4,4.1,0,2019
VitaDa00,GNB,26,RB,15,4,12,7,58.3%,97,13.9,0,3,27,8.1,0.5,6.5,0,2019
WilkJo01,IND,25,RB,14,1,11,7,63.6%,43,6.1,0,1,11,3.9,0.5,3.1,0,2019
BarnKe00,ATL,30,RB,14,0,8,6,75.0%,22,3.7,0,1,13,2.8,0.4,1.6,4,2019
BenjTr00,LAC,30,WR,5,2,16,6,37.5%,30,5.0,0,3,13,1.9,1.2,6.0,0,2019
BerrBr00,NYJ,24,WR,16,0,13,6,46.2%,115,19.2,0,3,69,8.8,0.4,7.2,1,2019
BonnRe00,CAR,23,RB,16,0,9,6,66.7%,57,9.5,0,1,32,6.3,0.4,3.6,0,2019
BookDe00,DEN,27,RB,16,0,9,6,66.7%,57,9.5,0,1,25,6.3,0.4,3.6,0,2019
BrauBe00,CHI,25,TE,11,3,11,6,54.5%,59,9.8,1,5,18,5.4,0.5,5.4,0,2019
2019,,,,,,,,,,,,,,,,,,
EdmuTr00,PIT,25,RB,11,0,7,6,85.7%,48,8.0,0,2,11,6.9,0.5,4.4,0,2019
FumaTr00,DEN,24,TE,11,5,9,6,66.7%,38,6.3,1,1,9,4.2,0.5,3.5,0,2019
HarrDe07,NOR,22,WR,14,1,6,6,100.0%,24,4.0,0,2,13,4.0,0.4,1.7,3,2019
IngoAl01,OAK,23,FB,16,4,6,6,100.0%,44,7.3,1,4,14,7.3,0.4,2.8,0,2019
IzzoRy00,NWE,24,TE,6,4,9,6,66.7%,114,19.0,1,4,41,12.7,1.0,19.0,0,2019
JameRi00,SFO,24,WR,16,1,10,6,60.0%,165,27.5,1,5,57,16.5,0.4,10.3,1,2019
JohnDE04,CLE,23,RB,16,0,7,6,85.7%,71,11.8,0,1,27,10.1,0.4,4.4,0,2019
KrofTy00,BUF,27,TE,11,3,14,6,42.9%,71,11.8,1,5,20,5.1,0.5,6.5,0,2019
LineZa01,NOR,29,RB,12,2,10,6,60.0%,36,6.0,0,1,12,3.6,0.5,3.0,0,2019
PattAn00,LAC,25,WR,13,5,17,6,35.3%,56,9.3,0,4,15,3.3,0.5,4.3,0,2019
PruiMy00,TEN,27,TE,16,10,8,6,75.0%,90,15.0,1,4,42,11.3,0.4,5.6,0,2019
RidlRi00,CHI,23,WR,5,0,7,6,85.7%,69,11.5,0,4,32,9.9,1.2,13.8,0,2019
SpenDi00,DEN,27,WR,16,2,8,6,75.0%,31,5.2,0,1,20,3.9,0.4,1.9,3,2019
SproDa00,PHI,36,RB,6,1,10,6,60.0%,24,4.0,0,1,7,2.4,1.0,4.0,1,2019
AtemMa00,OAK,25,WR,11,0,10,5,50.0%,116,23.2,0,4,36,11.6,0.5,10.5,1,2019
CarlSt00,CLE,23,TE,9,5,7,5,71.4%,51,10.2,1,2,21,7.3,0.6,5.7,0,2019
DiMaPa00,BUF,30,FB,16,4,7,5,71.4%,41,8.2,0,1,27,5.9,0.3,2.6,0,2019
JanoAn00,DEN,26,RB,7,3,5,5,100.0%,42,8.4,0,1,22,8.4,0.7,6.0,0,2019
NjokDa00,CLE,23,TE,4,1,10,5,50.0%,41,8.2,1,3,18,4.1,1.3,10.3,0,2019
SampDr00,CIN,23,TE,9,2,6,5,83.3%,30,6.0,0,1,21,5.0,0.6,3.3,0,2019
SmitDe04,DAL,27,WR,4,2,9,5,55.6%,113,22.6,1,4,51,12.6,1.3,28.3,0,2019
WareSp00,KAN,28,RB,3,1,7,5,71.4%,22,4.4,0,1,18,3.1,1.7,7.3,1,2019
