0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,HenrDe00,TEN,26,RB,16,16,378,2027,17,98,94,5.4,126.7,3,2020
,CookDa01,MIN,25,RB,14,14,312,1557,16,91,70,5.0,111.2,5,2020
,JacoJo01,LVR,22,RB,15,15,273,1065,12,61,28,3.9,71.0,2,2020
,MontDa01,CHI,23,RB,15,14,247,1070,8,59,80,4.3,71.3,1,2020
,ElliEz00,DAL,25,RB,15,15,244,979,6,62,31,4.0,65.3,6,2020
,RobiJa00,JAX,22,RB,14,14,240,1070,7,54,47,4.5,76.4,3,2020
,DrakKe00,ARI,26,RB,15,13,239,955,10,59,69,4.0,63.7,3,2020
,TaylJo02,IND,21,RB,15,13,232,1169,11,69,62,5.0,77.9,1,2020
,GordMe00,DEN,27,RB,15,10,215,986,9,46,65,4.6,65.7,4,2020
,JoneAa00,GNB,26,RB,14,14,201,1104,9,52,77,5.5,78.9,2,2020
,HuntKa00,CLE,25,RB,16,5,198,841,6,44,33,4.2,52.6,2,2020
,GurlTo01,ATL,26,RB,15,15,195,678,9,45,35,3.5,45.2,2,2020
,JoneRo01,TAM,23,RB,14,13,192,978,7,48,98,5.1,69.9,2,2020
,ChubNi00,CLE,25,RB,12,12,190,1067,12,56,59,5.6,88.9,1,2020
,GoreFr00,NYJ,37,RB,15,14,187,653,2,32,17,3.5,43.5,1,2020
,KamaAl00,NOR,25,RB,15,10,187,932,16,58,49,5.0,62.1,1,2020
,EdwaCl00,KAN,21,RB,13,13,181,803,4,39,31,4.4,61.8,0,2020
,GibsAn00,WAS,22,RB,14,10,170,795,11,40,40,4.7,56.8,1,2020
,ConnJa00,PIT,25,RB,13,11,169,721,6,42,59,4.3,55.5,2,2020
,DaviMi01,CAR,27,RB,15,12,165,642,6,38,25,3.9,42.8,1,2020
