0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
RiddDe00,ATL,23,QB,4,4,16,64,0,4,18,4.0,16.0,3,2022
ClemCo00,ARI,28,RB,9,1,15,55,1,6,12,3.7,6.1,0,2022
LindPh00,IND,28,RB,3,0,15,49,0,1,15,3.3,16.3,0,2022
McSoTr00,ARI,27,QB,6,1,15,61,0,3,14,4.1,10.2,2,2022
EvanDa02,CHI,24,RB,6,0,14,64,0,3,21,4.6,10.7,0,2022
McCoCo00,ARI,36,QB,4,3,14,36,0,5,9,2.6,9.0,2,2022
StidJa00,LVR,26,QB,5,2,14,84,0,7,11,6.0,16.8,3,2022
ThomSk00,MIA,25,QB,7,2,14,21,0,1,9,1.5,3.0,2,2022
RounLa00,LAC,23,RB,4,0,13,19,0,0,5,1.5,4.8,0,2022
SimsSt00,PIT,25,WR,12,2,13,70,0,5,22,5.4,5.8,3,2022
StafMa00,LAR,34,QB,9,9,13,9,1,3,4,0.7,1.0,5,2022
WilkJo01,IND,28,RB,4,0,13,58,0,2,9,4.5,14.5,0,2022
AgneJa00,JAX,27,WR,15,0,12,86,0,6,30,7.2,5.7,0,2022
AhmeSa01,MIA,24,RB,12,0,12,64,1,4,11,5.3,5.3,0,2022
ColeTe01,SFO,29,RB,5,0,12,26,1,2,14,2.2,5.2,0,2022
ConnSn00,JAX,22,RB,8,0,12,42,1,2,8,3.5,5.3,0,2022
DuveDe00,BAL,25,WR,14,13,12,84,1,7,18,7.0,6.0,1,2022
JohnDa08,NOR,31,RB,5,0,12,24,0,0,5,2.0,4.8,1,2022
WashDw00,NOR,28,RB,12,0,11,38,0,2,8,3.5,3.2,0,2022
GaskMy00,MIA,25,RB,4,0,10,26,0,2,10,2.6,6.5,0,2022
JoneTo04,2TM,25,RB,6,0,10,24,0,3,7,2.4,4.0,0,2022
LambCe00,DAL,23,WR,17,17,10,47,0,3,14,4.7,2.8,0,2022
MoorD.00,CAR,25,WR,17,17,10,53,0,3,11,5.3,3.1,0,2022
StroPi00,NWE,24,RB,15,0,10,100,1,5,44,10.0,6.7,0,2022
TaylJJ01,NWE,24,RB,1,0,10,9,0,0,5,0.9,9.0,0,2022
TaylPa01,GNB,24,RB,14,0,10,31,0,2,6,3.1,2.2,0,2022
ZappBa00,NWE,23,QB,4,2,10,0,0,0,5,0.0,0.0,4,2022
2022,,,,,,,,,,,,,,
AtweTu00,LAR,23,WR,13,4,9,34,1,2,11,3.8,2.6,0,2022
BerrBr00,NYJ,27,WR,17,2,9,91,2,5,25,10.1,5.4,1,2022
BrowSp01,CAR,24,RB,2,0,9,43,0,1,7,4.8,21.5,0,2022
ChesJu00,TEN,22,RB,6,0,9,12,0,1,5,1.3,2.0,0,2022
ClayCh01,2TM,24,WR,15,11,9,59,0,3,15,6.6,3.9,1,2022
JoneVe00,CHI,25,WR,12,2,9,103,1,5,42,11.4,8.6,3,2022
KuppCo00,LAR,29,WR,9,9,9,52,1,4,20,5.8,5.8,2,2022
McKeIs00,BUF,27,WR,15,8,9,55,1,3,18,6.1,3.7,0,2022
NwanKe00,MIN,24,RB,17,0,9,14,0,1,8,1.6,0.8,0,2022
RiveRo01,LAR,23,RB,8,1,9,21,0,1,5,2.3,2.6,0,2022
RushCo00,DAL,29,QB,9,5,9,6,0,1,6,0.7,0.7,2,2022
ShenLa00,CAR,24,WR,13,4,9,65,1,1,41,7.2,5.0,0,2022
StxxAm00,DET,23,WR,16,16,9,95,0,3,58,10.6,5.9,0,2022
StreCh00,NYJ,27,QB,2,1,9,54,0,1,14,6.0,27.0,1,2022
WattDe00,PIT,30,FB,17,3,9,21,1,8,4,2.3,1.2,0,2022
BernGi00,TAM,31,RB,8,0,8,28,0,0,8,3.5,3.5,1,2022
DaviMi01,BAL,29,RB,8,0,8,18,0,1,10,2.3,2.3,1,2022
DobbJo00,TEN,27,QB,2,2,8,44,0,4,11,5.5,22.0,4,2022
FordJe00,CLE,23,RB,13,0,8,12,0,1,9,1.5,0.9,0,2022
OlszGu00,PIT,26,WR,16,2,8,39,0,3,18,4.9,2.4,2,2022
WolfJo00,LAR,27,QB,3,3,8,32,0,2,14,4.0,10.7,3,2022
DortGr01,ARI,24,WR,16,4,7,44,0,3,20,6.3,2.8,1,2022
HillTy00,MIA,28,WR,17,17,7,32,1,3,10,4.6,1.9,1,2022
JohnDi01,PIT,26,WR,17,17,7,25,0,1,8,3.6,1.5,1,2022
JuszKy00,SFO,31,FB,16,12,7,26,1,5,9,3.7,1.6,0,2022
McLaTe00,WAS,27,WR,17,17,7,29,0,2,12,4.1,1.7,1,2022
MinsGa00,PHI,26,QB,5,2,7,3,1,1,3,0.4,0.6,4,2022
RaymKa00,DET,28,WR,17,7,7,36,0,4,12,5.1,2.1,3,2022
RicaPa00,BAL,28,FB,17,16,7,16,0,5,5,2.3,0.9,0,2022
ToneKa00,2TM,23,WR,9,4,7,82,1,5,32,11.7,9.1,1,2022
2022,,,,,,,,,,,,,,
WatsCh00,GNB,23,WR,14,11,7,80,2,2,46,11.4,5.7,0,2022
AlleKy00,HOU,26,QB,2,2,6,13,0,2,5,2.2,6.5,4,2022
BourKe00,NWE,27,WR,16,2,6,39,0,2,29,6.5,2.4,2,2022
ChanTy01,MIN,24,RB,3,0,6,20,0,1,10,3.3,6.7,0,2022
IngoAl01,MIA,26,FB,17,14,6,8,1,5,2,1.3,0.5,0,2022
McFaAn00,PIT,23,RB,1,0,6,30,0,3,14,5.0,30.0,0,2022
MoorRo02,ARI,22,WR,8,8,6,-5,0,1,9,-0.8,-0.6,0,2022
RypiBr00,DEN,26,QB,4,2,6,7,0,2,6,1.2,1.8,4,2022
St.BEq00,CHI,26,WR,16,16,6,54,0,2,41,9.0,3.4,1,2022
WalkPh00,CAR,27,QB,6,5,6,39,0,3,20,6.5,6.5,0,2022
WebbDa00,NYG,27,QB,1,1,6,41,1,2,14,6.8,41.0,0,2022
WhitMi01,NYJ,27,QB,4,4,6,9,1,3,4,1.5,2.3,2,2022
WillTr06,CIN,25,RB,8,0,6,30,0,1,16,5.0,3.8,0,2022
BurtMi00,KAN,30,FB,17,0,5,7,0,2,6,1.4,0.4,0,2022
CampPa00,IND,25,WR,17,16,5,58,0,2,28,11.6,3.4,1,2022
ChasJa00,CIN,22,WR,12,12,5,8,0,0,6,1.6,0.7,2,2022
HennCh01,KAN,37,QB,3,0,5,-5,0,0,-1,-1.0,-1.7,1,2022
HoweSa00,WAS,22,QB,1,1,5,35,1,4,10,7.0,35.0,0,2022
JoneJu02,TAM,33,WR,10,5,5,45,0,4,15,9.0,4.5,0,2022
KeenCa00,BUF,34,QB,2,0,5,0,0,0,4,0.0,0.0,0,2022
KirkCh01,JAX,26,WR,17,17,5,11,0,0,5,2.2,0.6,1,2022
MoorEl00,NYJ,22,WR,16,9,5,5,0,2,10,1.0,0.3,1,2022
SudfNa00,DET,29,QB,2,0,5,-4,0,0,0,-0.8,-2.0,0,2022
TaylTy00,NYG,33,QB,3,0,5,70,0,5,32,14.0,23.3,2,2022
WardJo00,2TM,25,,8,0,5,25,0,2,12,5.0,3.1,0,2022
WashMo00,DEN,23,WR,15,1,5,30,0,0,19,6.0,2.0,5,2022
WinsJa00,NOR,28,QB,3,3,5,16,0,0,6,3.2,5.3,3,2022
AbduAm00,LVR,29,RB,17,0,4,20,0,2,7,5.0,1.2,0,2022
BeatC.00,JAX,29,QB,4,0,4,-4,0,0,-1,-1.0,-1.0,0,2022
BlouDa00,ARI,27,QB,2,2,4,5,0,0,4,1.3,2.5,1,2022
2022,,,,,,,,,,,,,,
BurkTr00,TEN,22,WR,11,6,4,47,0,3,20,11.8,4.3,0,2022
CoopPh00,ARI,27,WR,5,1,4,15,0,0,6,3.8,3.0,0,2022
HamxC.00,MIN,29,FB,17,4,4,7,2,3,3,1.8,0.4,0,2022
HardMe00,KAN,24,WR,8,5,4,31,2,3,25,7.8,3.9,1,2022
HollMa00,LVR,29,WR,17,16,4,40,0,2,17,10.0,2.4,0,2022
HorvZa00,LAC,24,FB,15,2,4,8,0,2,3,2.0,0.5,0,2022
JeffJu00,MIN,23,WR,17,17,4,24,1,2,10,6.0,1.4,0,2022
JeudJe00,DEN,23,WR,15,14,4,40,0,4,14,10.0,2.7,0,2022
JohnDE04,CLE,26,RB,15,0,4,17,0,1,7,4.3,1.1,0,2022
JoneZa00,JAX,27,WR,16,15,4,18,0,1,14,4.5,1.1,0,2022
McClRa00,SFO,26,WR,17,2,4,78,1,1,71,19.5,4.6,2,2022
MullNi00,MIN,27,QB,4,0,4,8,0,1,4,2.0,2.0,0,2022
PrenAd00,NOR,25,FB,11,2,4,9,0,3,3,2.3,0.8,1,2022
ReagJa00,MIN,23,WR,17,0,4,25,0,1,17,6.3,1.5,4,2022
SchwAn00,CLE,22,WR,11,1,4,57,1,2,31,14.3,5.2,1,2022
ShahRa00,NOR,24,WR,12,6,4,57,1,2,44,14.3,4.8,1,2022
SiemTr00,CHI,31,QB,2,1,4,8,0,1,6,2.0,4.0,0,2022
TaylTr02,CIN,28,WR,16,1,4,15,0,0,9,3.8,0.9,2,2022
TurnDJ00,LVR,25,WR,9,0,4,26,0,1,18,6.5,2.9,1,2022
WilsGa00,NYJ,22,WR,17,12,4,4,0,0,7,1.0,0.2,2,2022
AdamDa01,LVR,30,WR,17,17,3,-1,0,0,4,-0.3,-0.1,1,2022
AlleBr00,CIN,30,QB,1,0,3,-1,0,1,2,-0.3,-1.0,0,2022
AndrMa00,BAL,27,TE,15,15,3,8,0,3,4,2.7,0.5,1,2022
BonnRe00,WAS,26,RB,1,0,3,8,0,0,5,2.7,8.0,0,2022
BridTe00,MIA,30,QB,5,2,3,27,0,2,11,9.0,5.4,0,2022
BrowAn06,BAL,24,QB,2,1,3,-5,0,0,-1,-1.7,-2.5,1,2022
FlacJo00,NYJ,37,QB,5,4,3,6,0,1,7,2.0,1.2,5,2022
GodwCh00,TAM,26,WR,15,13,3,5,0,0,2,1.7,0.3,2,2022
IgweGo00,SEA,28,RB,5,0,3,4,0,0,4,1.3,0.8,0,2022
MoorCh00,HOU,29,WR,16,7,3,3,0,0,3,1.0,0.2,0,2022
2022,,,,,,,,,,,,,,
MoorSk01,KAN,22,WR,16,3,3,24,0,1,12,8.0,1.5,3,2022
OkonCh00,TEN,23,TE,17,8,3,2,0,0,6,0.7,0.1,0,2022
OsboKJ00,MIN,25,WR,17,9,3,6,0,2,5,2.0,0.4,1,2022
OzigDe01,DEN,26,RB,4,0,3,4,0,0,4,1.3,1.0,0,2022
PickGe00,PIT,21,WR,17,12,3,24,1,2,22,8.0,1.4,0,2022
PittMi01,IND,25,WR,16,16,3,30,0,2,19,10.0,1.9,2,2022
ThorTy00,NWE,22,WR,13,9,3,16,1,1,19,5.3,1.2,0,2022
TurpKa00,DAL,26,WR,17,0,3,17,0,1,11,5.7,1.0,3,2022
WaddJa00,MIA,24,WR,17,17,3,26,0,0,9,8.7,1.5,1,2022
WatkQu00,PHI,24,WR,17,8,3,1,0,0,4,0.3,0.1,1,2022
AiyuBr00,SFO,24,WR,17,17,2,23,0,1,16,11.5,1.4,1,2022
BeckAn01,DEN,26,FB,13,4,2,0,0,0,1,0.0,0.0,0,2022
BoylTi00,CHI,28,QB,1,0,2,-2,0,0,-1,-1.0,-2.0,0,2022
CartDe02,LAC,29,WR,17,7,2,-15,0,0,-5,-7.5,-0.9,3,2022
ConkTy00,NYJ,27,TE,17,16,2,3,0,2,2,1.5,0.2,2,2022
CookBr00,HOU,29,WR,13,13,2,7,0,0,5,3.5,0.5,0,2022
DickMi00,SEA,26,P,17,0,2,-18,0,0,-8,-9.0,-1.1,1,2022
DotsJa00,WAS,22,WR,12,10,2,-7,0,0,3,-3.5,-0.6,0,2022
DuliAs00,IND,25,WR,12,2,2,8,0,1,5,4.0,0.7,0,2022
EngrEv00,JAX,28,TE,17,14,2,13,0,1,13,6.5,0.8,0,2022
EskrDW00,SEA,25,WR,10,0,2,10,0,0,6,5.0,1.0,0,2022
FoleNi00,IND,33,QB,3,2,2,8,0,0,8,4.0,2.7,0,2022
GillJa00,NYG,25,P,17,0,2,-3,0,0,0,-1.5,-0.2,1,2022
GoodMa00,SEA,32,WR,13,2,2,5,0,0,7,2.5,0.4,0,2022
HamlKJ00,DEN,23,WR,7,0,2,23,0,1,14,11.5,3.3,0,2022
HeywCo00,PIT,23,TE,17,0,2,27,0,2,21,13.5,1.6,0,2022
HintKe00,DEN,25,WR,12,5,2,13,0,1,13,6.5,1.1,0,2022
JameRi00,NYG,27,WR,17,4,2,6,0,0,4,3.0,0.4,3,2022
JohnDu00,BUF,29,RB,1,0,2,4,0,1,4,2.0,4.0,0,2022
JohnJo05,SFO,36,QB,2,0,2,3,0,0,4,1.5,1.5,0,2022
2022,,,,,,,,,,,,,,
KelcTr00,KAN,33,TE,17,17,2,5,0,1,4,2.5,0.3,1,2022
KmetCo00,CHI,23,TE,17,17,2,9,0,1,8,4.5,0.5,1,2022
LazaAl00,GNB,27,WR,15,15,2,0,0,0,1,0.0,0.0,0,2022
MeyeJa01,NWE,26,WR,14,13,2,-11,0,2,7,-5.5,-0.8,2,2022
MontTy01,NWE,29,WR,1,0,2,-2,0,0,0,-1.0,-2.0,0,2022
MoorCJ01,DET,27,S,11,0,2,55,0,2,42,27.5,5.0,1,2022
NjokDa00,CLE,26,TE,14,14,2,-8,0,0,-2,-4.0,-0.6,1,2022
PerrBr02,TAM,29,WR,11,3,2,-7,0,0,0,-3.5,-0.6,2,2022
PeteNa00,CHI,28,QB,3,1,2,7,0,0,6,3.5,2.3,0,2022
PettDa00,CHI,27,WR,17,7,2,37,0,2,29,18.5,2.2,1,2022
RobiWa01,NYG,21,WR,6,3,2,-1,0,0,4,-0.5,-0.2,0,2022
RodgAm00,2TM,23,,16,1,2,7,0,0,4,3.5,0.4,6,2022
RogeAr00,WAS,25,TE,11,3,2,26,0,1,24,13.0,2.4,0,2022
SermTr00,PHI,23,RB,2,0,2,19,0,2,14,9.5,9.5,0,2022
SmytDu00,MIA,27,TE,16,15,2,1,1,1,1,0.5,0.1,0,2022
ThomDe07,TAM,23,WR,5,1,2,26,0,1,17,13.0,5.2,1,2022
WillDa05,ATL,30,RB,1,1,2,2,0,0,2,1.0,2.0,0,2022
ZaccOl01,ATL,25,WR,17,13,2,7,0,1,13,3.5,0.4,1,2022
AlleKe00,LAC,30,WR,10,10,1,8,0,1,8,8.0,0.8,1,2022
AlleMa03,PIT,26,LB,15,0,1,4,0,1,4,4.0,0.3,0,2022
