0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,BoydTy00,CIN,26,WR,15,8,110,79,71.8%,841,10.6,4,43,72,7.6,5.3,56.1,1,2020
,SamuCu00,CAR,24,WR,15,5,97,77,79.4%,851,11.1,3,39,44,8.8,5.1,56.7,1,2020
,JoneMa02,DET,30,WR,16,16,115,76,66.1%,978,12.9,9,52,43,8.5,4.8,61.1,0,2020
,LambCe00,DAL,21,WR,16,14,111,74,66.7%,935,12.6,5,46,52,8.4,4.6,58.4,2,2020
,ThieAd00,MIN,30,WR,15,15,108,74,68.5%,925,12.5,14,52,51,8.6,4.9,61.7,0,2020
,GageRu00,ATL,24,WR,16,8,109,72,66.1%,786,10.9,4,50,35,7.2,4.5,49.1,0,2020
,2020,,,,,,,,,,,,,,,,,,
,LandJa00,CLE,28,WR,15,14,101,72,71.3%,840,11.7,3,46,32,8.3,4.8,56.0,2,2020
,ThomLo00,WAS,29,TE,16,15,110,72,65.5%,670,9.3,6,36,30,6.1,4.5,41.9,0,2020
,BrowAJ00,TEN,23,WR,14,12,106,70,66.0%,1075,15.4,11,55,73,10.1,5.0,76.8,2,2020
